date,temperature_2m_mean
2021-10-02,13.066667
2021-10-03,13.310414
2021-10-04,13.195835
2021-10-05,12.710418
2021-10-06,12.814584
2021-10-07,12.916665
2021-10-08,10.572917
2021-10-09,11.28125
2021-10-10,10.689582
2021-10-11,12.285417
2021-10-12,11.129166
2021-10-13,11.195834
2021-10-14,14.125
2021-10-15,12.333333
2021-10-16,10.095833
2021-10-17,10.656251
2021-10-18,11.279167
2021-10-19,16.289585
2021-10-20,15.677083
2021-10-21,10.38125
2021-10-22,9.76875
2021-10-23,9.295833
2021-10-24,8.343749
2021-10-25,10.489583
2021-10-26,11.893749
2021-10-27,13.647919
2021-10-28,11.802083
2021-10-29,13.102084
2021-10-30,12.016665
2021-10-31,11.114582
2021-11-01,9.445832
2021-11-02,6.8458333
2021-11-03,6.3854165
2021-11-04,6.110417
2021-11-05,8.377084
2021-11-06,10.956249
2021-11-07,10.55
2021-11-08,8.547916
2021-11-09,7.7479167
2021-11-10,9.504166
2021-11-11,10.193749
2021-11-12,7.960417
2021-11-13,11.018749
2021-11-14,9.545835
2021-11-15,6.558333
2021-11-16,5.6000004
2021-11-17,9.21875
2021-11-18,10.772916
2021-11-19,11.785417
2021-11-20,10.412499
2021-11-21,8.270834
2021-11-22,5.733333
2021-11-23,8.129166
2021-11-24,6.458334
2021-11-25,6.1541667
2021-11-26,4.3458333
2021-11-27,1.6666665
2021-11-28,2.4541667
2021-11-29,3.8354168
2021-11-30,9.079167
2021-12-01,8.254167
2021-12-02,2.6875
2021-12-03,3.2833335
2021-12-04,4.61875
2021-12-05,3.7
2021-12-06,1.7708335
2021-12-07,4.15
2021-12-08,4.4791665
2021-12-09,3.2291663
2021-12-10,2.6312501
2021-12-11,4.4375005
2021-12-12,9.272917
2021-12-13,9.150001
2021-12-14,8.739583
2021-12-15,9.549999
2021-12-16,7.03125
2021-12-17,6.8687496
2021-12-18,7.15625
2021-12-19,7.5645843
2021-12-20,4.1000004
2021-12-21,-1.964583
2021-12-22,-1.4854169
2021-12-23,2.7291667
2021-12-24,6.995833
2021-12-25,-1.3312501
2021-12-26,-1.2020832
2021-12-27,3.1083333
2021-12-28,7.7124996
2021-12-29,8.993751
2021-12-30,11.754167
2021-12-31,11.789582
2022-01-01,11.768749
2022-01-02,11.087499
2022-01-03,8.872916
2022-01-04,6.1895833
2022-01-05,5.3125
2022-01-06,3.252083
2022-01-07,3.4854167
2022-01-08,3.6374998
2022-01-09,4.8208337
2022-01-10,1.5875
2022-01-11,1.9500002
2022-01-12,3.6750002
2022-01-13,5.61875
2022-01-14,5.8999996
2022-01-15,3.5479167
2022-01-16,6.2083325
2022-01-17,6.59375
2022-01-18,4.8979173
2022-01-19,4.829167
2022-01-20,4.3291664
2022-01-21,5.202083
2022-01-22,6.35
2022-01-23,5.9999995
2022-01-24,4.3958335
2022-01-25,2.7333333
2022-01-26,4.539583
2022-01-27,7.1729164
2022-01-28,6.5125003
2022-01-29,9.05625
2022-01-30,6.1000004
2022-01-31,5.760416
2022-02-01,7.4250007
2022-02-02,7.939583
2022-02-03,7.275001
2022-02-04,6.235417
2022-02-05,6.254166
2022-02-06,7.2312493
2022-02-07,5.9604163
2022-02-08,9.358333
2022-02-09,8.614584
2022-02-10,6.627083
2022-02-11,4.316667
2022-02-12,2.7583334
2022-02-13,5.585417
2022-02-14,9.03125
2022-02-15,6.7979164
2022-02-16,10.320834
2022-02-17,8.256251
2022-02-18,7.8875003
2022-02-19,5.335417
2022-02-20,7.745833
2022-02-21,6.2104163
2022-02-22,7.154167
2022-02-23,7.7708335
2022-02-24,5.914583
2022-02-25,4.9166665
2022-02-26,3.3208332
2022-02-27,4.1312504
2022-02-28,4.147917
2022-03-01,4.4229174
2022-03-02,5.3375
2022-03-03,4.18125
2022-03-04,3.6041667
2022-03-05,1.6187502
2022-03-06,2.6437497
2022-03-07,2.7895832
2022-03-08,4.0708337
2022-03-09,5.464583
2022-03-10,7.3645825
2022-03-11,9.160417
2022-03-12,10.474999
2022-03-13,11.379166
2022-03-14,9.022918
2022-03-15,8.535416
2022-03-16,9.191667
2022-03-17,7.977082
2022-03-18,7.941667
2022-03-19,7.666666
2022-03-20,5.1208334
2022-03-21,7.1520844
2022-03-22,10.525001
2022-03-23,10.014584
2022-03-24,9.845834
2022-03-25,8.233333
2022-03-26,9.227084
2022-03-27,9.279167
2022-03-28,7.9374995
2022-03-29,7.800001
2022-03-30,5.6104164
2022-03-31,2.6541665
2022-04-01,3.0145833
2022-04-02,2.935417
2022-04-03,3.0083332
2022-04-04,7.3999996
2022-04-05,9.50625
2022-04-06,9.739583
2022-04-07,8.341665
2022-04-08,6.2729173
2022-04-09,5.9458337
2022-04-10,5.9500003
2022-04-11,9.01875
2022-04-12,13.039584
2022-04-13,12.445834
2022-04-14,11.181252
2022-04-15,8.539583
2022-04-16,10.18125
2022-04-17,10.541666
2022-04-18,12.039584
2022-04-19,11.695832
2022-04-20,11.160417
2022-04-21,11.597917
2022-04-22,12.6833315
2022-04-23,13.0979185
2022-04-24,11.020833
2022-04-25,8.995833
2022-04-26,9.09375
2022-04-27,8.068751
2022-04-28,8.422916
2022-04-29,8.560416
2022-04-30,8.054166
2022-05-01,8.766666
2022-05-02,10.243751
2022-05-03,8.752084
2022-05-04,9.847918
2022-05-05,11.764584
2022-05-06,13.368752
2022-05-07,13.472916
2022-05-08,10.660418
2022-05-09,13.493749
2022-05-10,15.162498
2022-05-11,14.241668
2022-05-12,13.325
2022-05-13,13.447917
2022-05-14,14.595834
2022-05-15,16.6
2022-05-16,17.31875
2022-05-17,17.36875
2022-05-18,18.116669
