,contractSymbol,lastTradeDate,strike,Last,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
80,SPXW250403C05840000,2025-04-03 14:17:25+00:00,5840.0,0.05,0.0,0.05,-0.59999996,-92.30769,71.0,3959,0.450200810546875,False,REGULAR,USD
81,SPXW250403C05845000,2025-04-03 13:43:24+00:00,5845.0,0.03,0.0,0.05,-0.52000004,-94.545456,24.0,1571,0.45508357421875,False,REGULAR,USD
82,SPXW250403C05850000,2025-04-03 15:08:10+00:00,5850.0,0.05,0.0,0.05,-0.5,-90.90909,14.0,7969,0.459966337890625,False,REGULAR,USD
83,SPXW250403C05855000,2025-04-03 13:30:03+00:00,5855.0,0.05,0.0,0.05,-0.5,-90.90909,11.0,539,0.46484910156250003,False,REGULAR,USD
84,SPXW250403C05860000,2025-04-03 13:30:02+00:00,5860.0,0.05,0.0,0.05,-0.25,-83.33333,20.0,546,0.46973186523437505,False,REGULAR,USD
85,SPXW250403C05865000,2025-04-03 16:49:08+00:00,5865.0,0.05,0.0,0.05,-0.11,-68.75,3.0,598,0.47461462890625,False,REGULAR,USD
86,SPXW250403C05870000,2025-04-03 16:45:49+00:00,5870.0,0.05,0.0,0.05,-0.22000001,-81.48148,68.0,913,0.47949739257812496,False,REGULAR,USD
87,SPXW250403C05875000,2025-04-03 13:45:04+00:00,5875.0,0.05,0.0,0.05,-0.17,-77.27273,7.0,585,0.48438015625,False,REGULAR,USD
88,SPXW250403C05880000,2025-04-03 16:12:27+00:00,5880.0,0.03,0.0,0.05,-0.17,-85.0,3.0,548,0.49023947265625006,False,REGULAR,USD
89,SPXW250403C05885000,2025-04-03 16:45:40+00:00,5885.0,0.05,0.0,0.05,-0.05,-50.0,16.0,433,0.49414568359375005,False,REGULAR,USD
90,SPXW250403C05890000,2025-04-02 20:13:30+00:00,5890.0,0.2,0.0,0.05,0.0,0.0,685.0,1026,0.500005,False,REGULAR,USD
91,SPXW250403C05900000,2025-04-03 16:04:19+00:00,5900.0,0.03,0.0,0.05,-0.120000005,-80.0,14.0,2439,0.5097705273437501,False,REGULAR,USD
92,SPXW250403C05910000,2025-04-03 14:54:35+00:00,5910.0,0.04,0.0,0.05,-0.060000002,-60.0,5.0,1566,0.5185595019531251,False,REGULAR,USD
93,SPXW250403C05920000,2025-04-03 15:05:00+00:00,5920.0,0.02,0.0,0.05,-0.08,-80.00001,9.0,708,0.500005,False,REGULAR,USD
94,SPXW250403C05925000,2025-04-02 20:14:44+00:00,5925.0,0.05,0.0,0.05,0.0,0.0,10467.0,10204,0.5039112109375,False,REGULAR,USD
95,SPXW250403C05930000,2025-04-03 13:38:54+00:00,5930.0,0.03,0.0,0.05,-0.020000001,-40.000004,2.0,686,0.507817421875,False,REGULAR,USD
96,SPXW250403C05940000,2025-04-03 13:32:53+00:00,5940.0,0.03,0.0,0.05,-0.07,-70.0,2.0,771,0.5195360546875,False,REGULAR,USD
97,SPXW250403C05950000,2025-04-03 16:04:19+00:00,5950.0,0.03,0.0,0.05,-0.07,-70.0,1.0,1300,0.5273484765625001,False,REGULAR,USD
