section,bin1,bin2,n_obs,sse_bs,sse_sabr,sse_bartlett,mse_bs,mse_sabr,mse_bartlett,gain_sabr_vs_bs,gain_bart_vs_bs,relgain_bart_vs_sabr
BUCKET,3,2,856,227993.70367321852,248294.76943162747,178652.57069463766,266.3477846649749,290.0639829808732,208.70627417597856,-0.08904222104092097,0.21641445436274453,0.2804819404629749
BUCKET,3,3,736,189337.8674778819,214340.9526085047,129518.93844454279,257.2525373340787,291.2241203919901,175.97681853878095,-0.13205538576979925,0.31593748165737134,0.39573405423316343
BUCKET,3,4,642,152700.24417664978,187634.31732981588,104272.03312432999,237.85084762718034,292.2652917909905,162.41749707839563,-0.22877548979393225,0.31714560322703933,0.44428058465954867
BUCKET,3,5,917,223164.3807193797,267298.4061416024,144921.12390406182,243.3635558553759,291.49226405845405,158.0383030578646,-0.19776464899978574,0.3506081775375509,0.45783019810716985
BUCKET,3,6,71,18707.08454305329,23281.20445397927,10899.222236540922,263.48006398666604,327.90428808421507,153.5101723456468,-0.24451270856230445,0.41737462021636873,0.5318445719556402
BUCKET,4,1,1495,748050.077261515,801659.6211149243,656241.1943472656,500.36794465653173,536.2271713143307,438.9573206336225,-0.07166571528160892,0.12273093166482407,0.1813967211737758
BUCKET,4,2,899,437891.40011183335,489905.1500119569,366897.91841745586,487.08720813329626,544.9445495127441,408.1178180394392,-0.11878230512597354,0.16212577291138042,0.2510837691571498
BUCKET,4,3,818,377705.0904435261,452602.59888721927,283954.11777387134,461.74216435638886,553.3039106200724,347.1321733176911,-0.19829626430436398,0.24821209732589578,0.3726193387488087
BUCKET,4,4,718,314706.26677943015,390867.7527682492,239009.3492533838,438.309563759652,544.3840567802913,332.88210202421146,-0.2420081645282226,0.24053196747778915,0.38851607081770256
BUCKET,4,5,1104,501466.41431486316,616955.6982920383,368571.168725745,454.22682456056447,558.836683235542,333.8506963095516,-0.2303031283460215,0.26501325272339227,0.40259702642169215
BUCKET,4,6,68,31650.123555157985,40661.77871136944,21169.82843398304,465.44299345820565,597.9673339907271,311.3210063821035,-0.2847273294370074,0.33112967483082645,0.47936787064202524
